DATE,JTSJOL,JTS2300JOL,JTS3000JOL,JTS540099JOL,JTS7000JOL,JTU5100JOL,JTS6200JOL,JTS9000JOL,JTU480099JOL
2014-01-01,6,155,261,713,596,110,630,389,174
2014-02-01,246,139,286,848,558,102,660,402,118
2014-03-01,15,125,282,773,571,102,678,425,140
2014-04-01,178,116,275,842,662,128,642,435,160
2014-05-01,181,119,294,857,710,104,734,441,157
2014-06-01,235,155,318,916,674,91,739,514,153
2014-07-01,-136,149,296,908,630,121,784,475,184
2014-08-01,503,127,322,967,705,115,840,438,189
2014-09-01,-435,116,310,941,708,100,779,468,193
2014-10-01,98,149,294,956,671,97,801,435,221
2014-11-01,-169,139,327,970,631,130,711,472,194
2014-12-01,287,139,307,1041,707,96,846,505,164
2015-01-01,214,147,321,1028,802,112,815,526,227
2015-02-01,122,171,309,1082,750,124,823,515,210
2015-03-01,-256,165,322,1101,719,105,815,501,223
2015-04-01,388,152,323,1239,720,121,905,521,252
2015-05-01,-35,158,324,1235,703,100,890,523,302
2015-06-01,-315,145,291,1109,666,102,903,471,227
2015-07-01,808,147,336,1146,761,138,1047,548,252
2015-08-01,-589,143,314,1091,695,119,942,494,214
2015-09-01,21,122,315,1110,705,112,982,470,204
2015-10-01,285,136,314,1212,785,126,950,527,275
2015-11-01,-65,123,298,1285,764,71,994,523,292
2015-12-01,137,158,334,1199,747,100,939,541,199
2016-01-01,167,169,321,1310,759,109,1095,515,162
2016-02-01,-242,193,325,1236,758,89,891,488,141
2016-03-01,359,206,336,1471,827,84,973,496,155
2016-04-01,-326,178,387,1049,763,93,983,502,195
2016-05-01,-26,176,353,1163,743,107,991,538,191
2016-06-01,-35,178,363,1143,794,82,971,479,190
2016-07-01,220,210,344,1248,757,93,1018,587,244
2016-08-01,-285,186,326,1105,803,86,966,511,225
2016-09-01,191,260,326,1204,739,104,997,527,163
2016-10-01,-277,219,299,985,760,92,1105,484,180
2016-11-01,380,204,345,1227,765,78,1099,577,153
2016-12-01,-7,183,369,1081,748,74,1097,560,166
2017-01-01,-347,161,371,984,724,92,1079,497,169
2017-02-01,306,190,369,986,898,61,1119,505,193
2017-03-01,-112,175,394,1009,749,77,1014,506,182
2017-04-01,280,207,373,1047,843,112,1016,543,198
2017-05-01,-265,172,347,1010,843,102,997,551,175
2017-06-01,479,203,392,1237,854,106,1083,574,216
2017-07-01,-67,210,371,1131,861,115,1036,548,277
2017-08-01,38,206,420,1110,909,129,1067,503,282
2017-09-01,44,194,434,1113,790,112,1044,563,271
2017-10-01,88,204,424,1323,796,96,1038,553,268
2017-11-01,-137,243,435,1034,877,86,1010,535,167
2017-12-01,65,232,405,971,884,116,1066,578,219
2018-01-01,285,250,447,1118,931,129,1046,591,275
2018-02-01,-69,218,441,1108,901,127,1094,596,263
2018-03-01,266,223,416,1185,928,126,1120,628,298
2018-04-01,59,223,438,1196,968,183,1117,593,303
2018-05-01,139,266,460,1239,975,124,1099,596,315
2018-06-01,214,289,461,1268,1061,127,1119,646,299
2018-07-01,-40,272,458,1253,1019,160,1119,646,300
2018-08-01,18,286,500,1331,1007,152,1123,725,269
2018-09-01,203,315,478,1342,1073,123,1198,617,342
2018-10-01,-107,275,502,1344,1015,147,1147,616,274
2018-11-01,290,314,520,1343,1023,127,1167,676,322
2018-12-01,-105,394,467,1351,1075,123,1221,680,305
2019-01-01,13,309,431,1391,1121,145,1241,693,344
2019-02-01,-436,287,457,1387,998,136,1108,687,239
2019-03-01,251,359,435,1347,1005,146,1240,715,314
2019-04-01,-45,405,451,1169,1024,120,1272,735,344
2019-05-01,3,357,471,1277,1018,124,1237,674,353
2019-06-01,-81,302,465,1279,945,126,1177,745,342
2019-07-01,-152,323,452,1252,959,167,1178,649,288
2019-08-01,136,328,439,1282,961,134,1207,747,331
2019-09-01,-54,332,444,1241,1025,183,1112,740,345
2019-10-01,165,326,399,1205,993,150,1174,785,356
2019-11-01,-401,242,414,1202,973,132,1160,764,334
2019-12-01,-189,257,380,1237,926,133,1134,748,269
2020-01-01,471,301,408,1303,909,131,1221,823,303
2020-02-01,-196,300,393,1290,945,138,1130,778,274
2020-03-01,-1050,214,318,1089,649,117,1085,704,355
2020-04-01,-1287,207,304,846,335,130,860,642,281
2020-05-01,956,274,323,1008,713,74,916,619,255
2020-06-01,563,235,344,1077,887,91,1029,667,325
2020-07-01,335,294,396,1156,774,100,1085,818,332
2020-08-01,-122,250,445,1153,748,83,1110,713,293
2020-09-01,136,231,463,1258,796,124,1106,716,323
2020-10-01,333,240,520,1256,806,128,1236,733,333
2020-11-01,19,268,491,1337,828,93,1208,718,321
2020-12-01,-99,261,484,1461,783,120,1161,672,281
2021-01-01,427,307,519,1421,748,175,1183,772,365
2021-02-01,633,274,596,1482,960,113,1497,698,367
2021-03-01,701,336,763,1563,1103,110,1362,849,488
2021-04-01,763,319,828,1710,1304,137,1429,951,503
2021-05-01,623,304,910,1855,1408,138,1606,912,444
2021-06-01,412,321,899,1917,1573,154,1593,963,525
2021-07-01,674,364,914,2085,1771,219,1665,936,560
2021-08-01,-107,388,852,2069,1717,204,1641,812,583
2021-09-01,-9,353,932,1946,1584,225,1776,964,627
2021-10-01,490,395,947,2139,1650,207,1874,974,576
2021-11-01,-187,381,844,2065,1612,193,1895,989,614
2021-12-01,333,394,830,2151,1702,250,1931,1105,622
2022-01-01,-268,411,889,2111,1615,254,1900,1024,540
2022-02-01,457,413,833,2320,1689,252,2026,1078,545
2022-03-01,482,435,928,2416,1670,269,2147,1017,494
2022-04-01,-409,438,997,2274,1621,292,2044,1043,531
2022-05-01,-300,414,843,2181,1581,228,2061,1076,475
2022-06-01,-269,392,865,2254,1548,220,2011,979,488
2022-07-01,333,363,885,2127,1604,254,2037,1187,591
2022-08-01,-1418,340,828,1802,1458,189,1946,971,432
2022-09-01,665,437,816,2128,1517,235,2053,1056,574
2022-10-01,-258,388,741,1824,1590,212,1990,988,468
2022-11-01,176,334,809,2205,1543,198,1904,1045,486
2022-12-01,298,426,712,2214,1723,86,1928,1049,617
2023-01-01,-575,293,719,2042,1534,111,1804,1077,610
2023-02-01,-576,409,674,1789,1421,149,1680,1018,564
2023-03-01,-226,291,693,1736,1456,152,1748,1047,388
2023-04-01,281,363,647,1767,1377,164,1803,1040,550
2023-05-01,-593,377,592,1597,1301,155,1673,1070,499
2023-06-01,-186,414,578,1528,1172,131,1760,1104,427
2023-07-01,-320,351,535,1334,1207,168,1803,985,489
2023-08-01,553,386,601,1648,1182,149,1839,1089,407
2023-09-01,-51,422,607,1582,1350,115,1762,965,435
2023-10-01,-622,413,576,1585,1201,111,1622,967,511
2023-11-01,246,454,553,1536,1153,141,1778,999,448
2023-12-01,-42,434,586,1579,1003,179,1783,1005,375
2024-01-01,-141,425,596,1570,1123,205,1904,846,290
2024-02-01,65,456,587,1526,1143,130,1811,919,292
2024-03-01,-458,346,546,1390,1193,156,1745,957,334
2024-04-01,-436,337,488,1441,1068,116,1552,906,340
2024-05-01,311,366,586,1512,900,132,1685,1038,333
2024-06-01,-320,299,474,1339,943,101,1618,1016,381
2024-07-01,-199,232,505,1553,965,136,1465,871,304
2024-08-01,150,328,491,1454,1059,111,1484,949,339
2024-09-01,-418,288,481,1531,948,140,1306,817,297
